Symbol,Base_RMSE,Base_MAE,Base_MAPE,Base_DirAcc,GNN_RMSE,GNN_MAE,GNN_MAPE,GNN_DirAcc,BIGNN_RMSE,BIGNN_MAE,BIGNN_MAPE,BIGNN_DirAcc
AAVE,13.91282323580031,8.077064514160156,4.2213807,48.15655133295519,13.437600494718692,7.980379104614258,4.2307243,48.15655133295519,13.16351190428667,8.035447120666504,4.445872,48.32671582529779
ADA,0.05408892707766981,0.031296782195568085,3.8231492,49.80147475893364,0.056542451226957675,0.035466067492961884,4.482779,49.177538287010776,0.05219320936295288,0.03213682770729065,4.263684,49.57458876914351
ASTER,0.5604934932797268,0.12132106721401215,10.863884,1.871809415768576,0.2585957362856457,0.06268575042486191,7.8199058,1.6449234259784458,0.2934585672804863,0.06511082500219345,7.188115,1.9285309132161088
AVAX,2.648048844978938,1.561034083366394,4.6708717,49.97163925127624,2.6644065836091047,1.6485191583633423,5.04656,50.0850822461713,2.57435054181199,1.5931612253189087,5.097742,49.57458876914351
BCH,28.581979732511314,13.866950988769531,3.4360318,46.22802041973908,28.915292082407493,15.567656517028809,3.9344623,46.114577424844015,27.080523191550878,14.401485443115234,4.066409,46.51162790697674
BNB,24.308221827963887,13.632177352905273,2.854144,46.05785592739649,20.853114550939612,13.320853233337402,2.8951378,47.192285876347135,22.828917733070075,13.375514030456543,2.915051,47.24900737379467
BTC,2494.841778550295,1572.3057861328125,2.63755,47.02212138400454,2330.1285372270777,1559.82958984375,2.6821704,47.816222348269996,1831.2787199113084,1287.492919921875,2.539044,48.21327283040272
CC,0.16777019630827364,0.024607522413134575,24.543976,0.45377197958026094,0.47653005833501494,0.06324712187051773,66.05948,0.39705048213272826,0.5251553090026652,0.061675455421209335,65.44285,0.39705048213272826
CRO,0.012264740550026907,0.006189433392137289,3.5976555,47.75950085082246,0.012263086480157337,0.006284706294536591,3.7961497,47.816222348269996,0.011111027280768376,0.006069732829928398,3.8921244,47.3057288712422
DOGE,0.013345280452410813,0.0067869327031075954,3.9578943,46.34146341463415,0.012676433018759026,0.006814288441091776,4.0637126,47.75950085082246,0.012158293584885408,0.006699239369481802,4.153509,46.68179239931934
DOT,1.0298725523384233,0.5317474007606506,4.6308045,48.38343732274532,1.0093334461079395,0.576234757900238,5.9416285,49.12081678956324,1.0046535337885376,0.5759831666946411,6.021863,49.12081678956324
ETH,109.494581950718,74.48873901367188,2.9235468,47.07884288145207,114.68381720926236,79.79352569580078,3.1313603,46.90867838910947,110.09271660741231,76.0291976928711,3.0213315,47.24900737379467
HBAR,0.012565590210496521,0.007199973799288273,4.441912,46.85195689166194,0.01395271715089271,0.008730464614927769,5.533947,47.3057288712422,0.012679937226716405,0.007741615641862154,5.1440997,47.58933635847986
HYPE,9.976011877914003,3.625138998031616,9.71346,8.735110606920022,9.632314701629639,3.604137897491455,9.792562,8.735110606920022,9.946933323590006,3.7515525817871094,10.2194195,8.791832104367556
LEO,0.2718373480846689,0.16341474652290344,2.6812356,44.80998298355077,0.18939106701529518,0.12078011780977249,2.4848592,45.09359047078843,0.20916370469696305,0.1273806095123291,2.3980384,46.568349404424275
LINK,1.1159091918739028,0.670447587966919,3.9967105,48.49688031764038,1.1240173392706263,0.6963555812835693,4.1803775,48.099829835507656,1.0902859464097754,0.6781445741653442,4.280426,49.97163925127624
LTC,6.727483989763152,3.713364601135254,3.246926,47.75950085082246,6.753966684771543,3.8932454586029053,3.4462638,48.099829835507656,6.397867515057996,3.6679494380950928,3.2950182,48.21327283040272
MNT,0.11557503229505296,0.034974776208400726,2.9641142,26.318774815655132,0.09988824757963487,0.028478574007749557,2.3770885,26.432217810550195,0.11756324927432459,0.036287352442741394,3.1642556,25.694838343732272
SHIB,1.4001525856969936e-06,6.650477644143393e-07,157.74104,47.02212138400454,1.4576742480632164e-06,7.110983801794646e-07,63.962482,47.07884288145207,1.235751355536814e-06,6.650180353062751e-07,69.78761,47.3057288712422
SOL,6.155836991916284,4.104788303375244,5.667199,49.177538287010776,7.607293754938466,5.241819858551025,6.9033647,49.80147475893364,6.615110681693443,4.525886535644531,6.358219,48.78048780487805
SUI,0.20186560189659947,0.08833818137645721,3.8517277,24.90073737946682,0.18543856621832044,0.08163081109523773,3.447889,25.297787861599545,0.23944657333894892,0.10639113932847977,4.403777,25.865002836074876
TAO,29.42542629921655,16.456966400146484,525.2465,29.608621667612024,29.656795388162095,16.596281051635742,897.01416,30.799773114010208,40.111782285570406,20.509929656982422,499.62668,31.140102098695404
