date,total_market_cap,btc_dominance
2020-12-05T00:00:00.000Z,552420643594.1,62.9614
2020-12-06T00:00:00.000Z,568375469439.93,62.5375
2020-12-07T00:00:00.000Z,573838755753.35,62.5654
2020-12-08T00:00:00.000Z,569021068193.99,62.6287
2020-12-09T00:00:00.000Z,540994202129.59,62.8883
2020-12-10T00:00:00.000Z,550913634569.53,62.5568
2020-12-11T00:00:00.000Z,540615658936.79,62.7518
2020-12-12T00:00:00.000Z,532039480570.26,63.0548
2020-12-13T00:00:00.000Z,550108027522.3,63.4622
2020-12-14T00:00:00.000Z,562303659635.7,63.2269
2020-12-15T00:00:00.000Z,563583183356.43,63.4374
2020-12-16T00:00:00.000Z,566555638559.17,63.6627
2020-12-17T00:00:00.000Z,617233878970.85,64.1733
2020-12-18T00:00:00.000Z,646662647680.5,65.5085
2020-12-19T00:00:00.000Z,656811291446.32,65.4007
2020-12-20T00:00:00.000Z,672830201076.79,65.8869
2020-12-21T00:00:00.000Z,662256546234.09,65.9392
2020-12-22T00:00:00.000Z,639482098768.53,66.3766
2020-12-23T00:00:00.000Z,659168264910.21,67.033
2020-12-24T00:00:00.000Z,624113054376.15,69.2394
2020-12-25T00:00:00.000Z,647402293656.33,68.1597
2020-12-26T00:00:00.000Z,667349490727.7,68.6839
2020-12-27T00:00:00.000Z,701188197535.36,70.0526
2020-12-28T00:00:00.000Z,704185686414.61,69.4167
2020-12-29T00:00:00.000Z,728179385072.71,69.1401
2020-12-30T00:00:00.000Z,732422027293.74,69.4398
2020-12-31T00:00:00.000Z,760731060139.62,70.425
2021-01-01T00:00:00.000Z,765312965839.57,70.4528
2021-01-02T00:00:00.000Z,772481366071.7,70.6696
2021-01-03T00:00:00.000Z,831050843622.62,71.798
2021-01-04T00:00:00.000Z,876589922892.12,69.5703
2021-01-05T00:00:00.000Z,869548486452.6,68.3439
2021-01-06T00:00:00.000Z,920624311572.56,68.7089
2021-01-07T00:00:00.000Z,1000232390769.68,68.5012
2021-01-08T00:00:00.000Z,1052206214274.87,69.6016
2021-01-09T00:00:00.000Z,1078151392864.04,70.3697
2021-01-10T00:00:00.000Z,1088240613852.74,68.8379
2021-01-11T00:00:00.000Z,1047705851913.44,68.1367
2021-01-12T00:00:00.000Z,957506510510.2,69.1322
2021-01-13T00:00:00.000Z,919926156837.37,68.5632
2021-01-14T00:00:00.000Z,1007426555868.52,68.905
2021-01-15T00:00:00.000Z,1059027014104.1,68.831
2021-01-16T00:00:00.000Z,1005282606669.72,68.0186
2021-01-17T00:00:00.000Z,1012362471103.07,66.53
2021-01-18T00:00:00.000Z,1007051878926.17,66.1606
2021-01-19T00:00:00.000Z,1030379574330.94,66.2562
2021-01-20T00:00:00.000Z,1032869171007.11,65.1071
2021-01-21T00:00:00.000Z,1025653410835.52,64.5811
2021-01-22T00:00:00.000Z,885703222647.15,64.8111
2021-01-23T00:00:00.000Z,949923044916.44,64.5717
2021-01-24T00:00:00.000Z,936376288463.76,63.706
2021-01-25T00:00:00.000Z,963889593144.28,62.3748
2021-01-26T00:00:00.000Z,952725120616.35,63.1847
2021-01-27T00:00:00.000Z,962965946229.64,62.9842
2021-01-28T00:00:00.000Z,899608105524.53,62.8927
2021-01-29T00:00:00.000Z,981399142368.02,63.3916
2021-01-30T00:00:00.000Z,1008115569246.02,63.2399
2021-01-31T00:00:00.000Z,1018463731294.19,62.6685
2021-02-01T00:00:00.000Z,990275887106.73,62.2892
2021-02-02T00:00:00.000Z,1006449250810.23,61.994
2021-02-03T00:00:00.000Z,1065615072249.44,62.045
2021-02-04T00:00:00.000Z,1132177735792.22,61.57
2021-02-05T00:00:00.000Z,1121071194215.43,61.3403
2021-02-06T00:00:00.000Z,1176650523167.46,60.2552
2021-02-07T00:00:00.000Z,1194592738676.8,61.1832
2021-02-08T00:00:00.000Z,1184569745811.79,61.1644
2021-02-09T00:00:00.000Z,1356473377047.12,63.3904
2021-02-10T00:00:00.000Z,1384154619947.43,62.5384
2021-02-11T00:00:00.000Z,1370856155170.38,61.0014
2021-02-12T00:00:00.000Z,1445387833199.8,61.6307
2021-02-13T00:00:00.000Z,1471565274739.58,60.1672
2021-02-14T00:00:00.000Z,1472225150017.07,59.5947
2021-02-15T00:00:00.000Z,1489533291681.0,60.9341
2021-02-16T00:00:00.000Z,1464258536313.8,61.0149
2021-02-17T00:00:00.000Z,1490946011412.48,61.5149
2021-02-18T00:00:00.000Z,1571730150472.86,61.8264
2021-02-19T00:00:00.000Z,1587960801799.29,60.654
2021-02-20T00:00:00.000Z,1706551988686.55,60.9757
2021-02-21T00:00:00.000Z,1699848120501.44,61.5163
2021-02-22T00:00:00.000Z,1744111720940.62,61.4551
2021-02-23T00:00:00.000Z,1647603133821.13,61.3438
2021-02-24T00:00:00.000Z,1467056625531.13,61.8556
2021-02-25T00:00:00.000Z,1510602884475.79,61.2704
2021-02-26T00:00:00.000Z,1430592091566.2,61.6063
2021-02-27T00:00:00.000Z,1408473597631.53,61.2638
2021-02-28T00:00:00.000Z,1421511102160.5,60.6459
2021-03-01T00:00:00.000Z,1380689031695.14,60.9004
2021-03-02T00:00:00.000Z,1515177964309.47,61.0605
2021-03-03T00:00:00.000Z,1479787789839.6,60.9434
2021-03-04T00:00:00.000Z,1543748682020.24,61.0884
2021-03-05T00:00:00.000Z,1492279202668.93,60.6724
2021-03-06T00:00:00.000Z,1502552865324.52,60.7347
2021-03-07T00:00:00.000Z,1518551847557.71,60.0835
2021-03-08T00:00:00.000Z,1585196572691.68,60.3591
2021-03-09T00:00:00.000Z,1623367549044.83,60.0369
2021-03-10T00:00:00.000Z,1704294520581.81,59.9459
2021-03-11T00:00:00.000Z,1708422615326.76,61.1765
2021-03-12T00:00:00.000Z,1751033647877.46,61.5417
2021-03-13T00:00:00.000Z,1728235544521.7,61.8837
2021-03-14T00:00:00.000Z,1841094129185.99,62.059
2021-03-15T00:00:00.000Z,1789792456499.14,61.9431
2021-03-16T00:00:00.000Z,1707276189268.97,61.0555
2021-03-17T00:00:00.000Z,1738831316438.59,60.7882
2021-03-18T00:00:00.000Z,1801671789498.99,60.9259
2021-03-19T00:00:00.000Z,1771215330271.86,60.9504
2021-03-20T00:00:00.000Z,1800100265836.79,60.4699
2021-03-21T00:00:00.000Z,1797970179884.56,60.5572
2021-03-22T00:00:00.000Z,1781647327529.74,60.2432
2021-03-23T00:00:00.000Z,1701640874999.6,59.8264
2021-03-24T00:00:00.000Z,1707727162944.86,59.8703
2021-03-25T00:00:00.000Z,1634570685516.3,60.274
2021-03-26T00:00:00.000Z,1623529674149.42,59.4432
2021-03-27T00:00:00.000Z,1734484004138.44,59.3271
2021-03-28T00:00:00.000Z,1755880628770.7,59.5427
2021-03-29T00:00:00.000Z,1758110718730.48,59.424
2021-03-30T00:00:00.000Z,1825801906631.66,59.0507
2021-03-31T00:00:00.000Z,1863981199793.12,59.0175
2021-04-01T00:00:00.000Z,1879792110128.97,58.5257
2021-04-02T00:00:00.000Z,1903824109713.87,57.9703
2021-04-03T00:00:00.000Z,1948275550271.01,56.9111
2021-04-04T00:00:00.000Z,1882423093695.86,57.159
2021-04-05T00:00:00.000Z,1949002578558.65,56.2923
2021-04-06T00:00:00.000Z,1976828143329.49,55.7368
2021-04-07T00:00:00.000Z,1984148829242.77,54.8009
2021-04-08T00:00:00.000Z,1881979289294.0,55.7265
2021-04-09T00:00:00.000Z,1977830891895.14,55.0741
2021-04-10T00:00:00.000Z,1980748568310.93,54.9262
2021-04-11T00:00:00.000Z,2045405684064.1,54.6103
2021-04-12T00:00:00.000Z,2072661874926.67,54.2631
2021-04-13T00:00:00.000Z,2080396210743.75,53.794
2021-04-14T00:00:00.000Z,2197811709903.58,54.0325
2021-04-15T00:00:00.000Z,2217887624034.03,53.0721
2021-04-16T00:00:00.000Z,2259233680547.6,52.3264
2021-04-17T00:00:00.000Z,2237628557667.6,51.451
2021-04-18T00:00:00.000Z,2198602921303.39,51.6228
2021-04-19T00:00:00.000Z,2049504342804.95,51.2376
2021-04-20T00:00:00.000Z,2013020032223.88,51.699
2021-04-21T00:00:00.000Z,2068523587315.62,50.9968
2021-04-22T00:00:00.000Z,1994278314257.17,50.4943
2021-04-23T00:00:00.000Z,1916829750697.46,50.4688
2021-04-24T00:00:00.000Z,1896561955270.02,50.3437
2021-04-25T00:00:00.000Z,1826281250070.77,51.2053
2021-04-26T00:00:00.000Z,1824757624647.65,50.2333
2021-04-27T00:00:00.000Z,2019390396279.5,50.0009
2021-04-28T00:00:00.000Z,2085563671994.19,49.2961
2021-04-29T00:00:00.000Z,2094349280175.74,48.9268
2021-04-30T00:00:00.000Z,2076747433317.0,48.2182
2021-05-01T00:00:00.000Z,2202189769327.3,49.0324
2021-05-02T00:00:00.000Z,2244084268334.95,48.1702
2021-05-03T00:00:00.000Z,2213766969074.5,47.8168
2021-05-04T00:00:00.000Z,2312368990373.25,46.258
2021-05-05T00:00:00.000Z,2177702251591.46,45.7342
2021-05-06T00:00:00.000Z,2386883839277.0,44.9585
2021-05-07T00:00:00.000Z,2371260683957.56,44.4769
2021-05-08T00:00:00.000Z,2379475419702.69,45.0737
2021-05-09T00:00:00.000Z,2463506402007.01,44.6338
2021-05-10T00:00:00.000Z,2456518166904.53,44.3289
2021-05-11T00:00:00.000Z,2354289970693.0,44.3493
2021-05-12T00:00:00.000Z,2502801521503.85,42.3958
2021-05-13T00:00:00.000Z,2210077001195.96,42.1965
2021-05-14T00:00:00.000Z,2237244955780.75,41.5677
2021-05-15T00:00:00.000Z,2335084960875.95,39.9721
2021-05-16T00:00:00.000Z,2177512723943.98,40.2005
2021-05-17T00:00:00.000Z,2169168079472.59,40.0596
2021-05-18T00:00:00.000Z,2021563048922.92,40.2289
2021-05-19T00:00:00.000Z,2047589623111.84,39.2584
2021-05-20T00:00:00.000Z,1586428418885.85,43.7153
2021-05-21T00:00:00.000Z,1787816617243.12,42.5661
2021-05-22T00:00:00.000Z,1597425646826.4,43.6864
2021-05-23T00:00:00.000Z,1552307006310.07,45.2667
2021-05-24T00:00:00.000Z,1418495270201.05,45.907
2021-05-25T00:00:00.000Z,1661357595908.09,43.5643
2021-05-26T00:00:00.000Z,1658843816739.54,43.2494
2021-05-27T00:00:00.000Z,1751087019178.69,42.0176
2021-05-28T00:00:00.000Z,1691490891974.8,42.561
2021-05-29T00:00:00.000Z,1550715146762.87,43.0715
2021-05-30T00:00:00.000Z,1484497152534.16,43.6175
2021-05-31T00:00:00.000Z,1543725890384.16,43.2404
2021-06-01T00:00:00.000Z,1659100453454.15,42.1135
2021-06-02T00:00:00.000Z,1635922584515.64,41.9713
2021-06-03T00:00:00.000Z,1693469168939.95,41.5796
2021-06-04T00:00:00.000Z,1767339896058.76,41.5235
2021-06-05T00:00:00.000Z,1660961801310.91,41.6159
2021-06-06T00:00:00.000Z,1612808480193.27,41.2765
2021-06-07T00:00:00.000Z,1636932562394.85,41.0008
2021-06-08T00:00:00.000Z,1533003950260.85,41.0136
2021-06-09T00:00:00.000Z,1522153846982.68,41.1667
2021-06-10T00:00:00.000Z,1630806890792.87,42.8766
2021-06-11T00:00:00.000Z,1578378270924.34,43.5877
2021-06-12T00:00:00.000Z,1551277554865.42,45.0222
2021-06-13T00:00:00.000Z,1517151283644.55,43.8802
2021-06-14T00:00:00.000Z,1629650696539.94,44.9064
2021-06-15T00:00:00.000Z,1671750632515.21,45.216
2021-06-16T00:00:00.000Z,1651468714192.19,45.5713
2021-06-17T00:00:00.000Z,1586167060397.71,45.2909
2021-06-18T00:00:00.000Z,1585439969106.78,45.0277
2021-06-19T00:00:00.000Z,1499518129332.01,44.8044
2021-06-20T00:00:00.000Z,1477596721768.39,45.1011
2021-06-21T00:00:00.000Z,1492167308397.19,44.7603
2021-06-22T00:00:00.000Z,1276173404169.88,46.4365
2021-06-23T00:00:00.000Z,1282593465902.12,47.5107
2021-06-24T00:00:00.000Z,1353218312400.25,46.649
2021-06-25T00:00:00.000Z,1394656334645.45,46.6353
2021-06-26T00:00:00.000Z,1278048997056.57,46.3339
2021-06-27T00:00:00.000Z,1295821836507.49,46.6459
2021-06-28T00:00:00.000Z,1381613853117.83,47.0475
2021-06-29T00:00:00.000Z,1395514135235.1,46.2802
2021-06-30T00:00:00.000Z,1453057024141.87,46.2959
2021-07-01T00:00:00.000Z,1443740569103.02,45.4903
2021-07-02T00:00:00.000Z,1383828223983.63,45.4476
2021-07-03T00:00:00.000Z,1399096678469.44,45.3615
2021-07-04T00:00:00.000Z,1433810438951.76,45.3256
2021-07-05T00:00:00.000Z,1466939884287.63,45.0946
2021-07-06T00:00:00.000Z,1408670057645.14,44.8845
2021-07-07T00:00:00.000Z,1447160819009.8,44.3434
2021-07-08T00:00:00.000Z,1441909752646.65,44.0697
2021-07-09T00:00:00.000Z,1373437544731.84,44.8654
2021-07-10T00:00:00.000Z,1405548705051.49,45.1092
2021-07-11T00:00:00.000Z,1389401173477.36,45.2282
2021-07-12T00:00:00.000Z,1413837577847.68,45.4364
2021-07-13T00:00:00.000Z,1368394038633.56,45.4005
2021-07-14T00:00:00.000Z,1337726918122.82,45.8803
2021-07-15T00:00:00.000Z,1345660454551.38,45.7574
2021-07-16T00:00:00.000Z,1305800227300.81,45.7394
2021-07-17T00:00:00.000Z,1276125597537.53,46.1523
2021-07-18T00:00:00.000Z,1259003870112.32,46.9857
2021-07-19T00:00:00.000Z,1294032244032.82,46.1019
2021-07-20T00:00:00.000Z,1245202814756.7,46.4633
2021-07-21T00:00:00.000Z,1204677240889.18,46.4055
2021-07-22T00:00:00.000Z,1307987250061.45,46.1027
2021-07-23T00:00:00.000Z,1324921902082.75,45.7523
2021-07-24T00:00:00.000Z,1372969711997.31,45.9133
2021-07-25T00:00:00.000Z,1402256802749.15,45.8902
2021-07-26T00:00:00.000Z,1426244767009.43,46.5584
2021-07-27T00:00:00.000Z,1472981630084.41,47.4942
2021-07-28T00:00:00.000Z,1537614832648.81,48.2187
2021-07-29T00:00:00.000Z,1552331698844.43,48.3594
2021-07-30T00:00:00.000Z,1570822811697.76,47.8309
2021-07-31T00:00:00.000Z,1634296830979.41,48.4894
2021-08-01T00:00:00.000Z,1635499465717.85,47.5896
2021-08-02T00:00:00.000Z,1605291730562.67,46.7104
2021-08-03T00:00:00.000Z,1599832267571.21,45.9907
2021-08-04T00:00:00.000Z,1562901785892.3,45.8815
2021-08-05T00:00:00.000Z,1635780430423.28,45.6193
2021-08-06T00:00:00.000Z,1678061403940.65,45.7286
2021-08-07T00:00:00.000Z,1735655255290.46,46.3415
2021-08-08T00:00:00.000Z,1831731527441.35,45.6989
2021-08-09T00:00:00.000Z,1774501349978.63,46.347
2021-08-10T00:00:00.000Z,1864264417198.56,46.6252
2021-08-11T00:00:00.000Z,1869799155703.19,45.8055
2021-08-12T00:00:00.000Z,1901686429134.03,45.0171
2021-08-13T00:00:00.000Z,1858196176272.52,44.9232
2021-08-14T00:00:00.000Z,2005227678476.43,44.7894
2021-08-15T00:00:00.000Z,1998619494676.87,44.2688
2021-08-16T00:00:00.000Z,2018285326179.09,43.7686
2021-08-17T00:00:00.000Z,1966489225457.42,43.8888
2021-08-18T00:00:00.000Z,1898164006594.37,44.2341
2021-08-19T00:00:00.000Z,1915630974639.44,43.8868
2021-08-20T00:00:00.000Z,2015577125330.44,43.5597
2021-08-21T00:00:00.000Z,2105331098043.51,44.0293
2021-08-22T00:00:00.000Z,2080789866038.47,44.1375
2021-08-23T00:00:00.000Z,2103254071104.22,44.0459
2021-08-24T00:00:00.000Z,2147406305136.86,43.3802
2021-08-25T00:00:00.000Z,2046971679006.08,43.8161
2021-08-26T00:00:00.000Z,2096980430009.91,43.9075
2021-08-27T00:00:00.000Z,1997932828867.22,44.1451
2021-08-28T00:00:00.000Z,2115878389097.14,43.6152
2021-08-29T00:00:00.000Z,2104359656052.3,43.7106
2021-08-30T00:00:00.000Z,2098254859020.15,43.7601
2021-08-31T00:00:00.000Z,2046396184884.7,43.1792
2021-09-01T00:00:00.000Z,2090108123816.08,42.3663
2021-09-02T00:00:00.000Z,2210190743182.79,41.5744
2021-09-03T00:00:00.000Z,2223262376536.0,41.7002
2021-09-04T00:00:00.000Z,2269225310292.2,41.3877
2021-09-05T00:00:00.000Z,2270810366334.45,41.3648
2021-09-06T00:00:00.000Z,2343397052207.83,41.5298
2021-09-07T00:00:00.000Z,2367110899522.54,41.8268
2021-09-08T00:00:00.000Z,2084766535702.86,42.2686
2021-09-09T00:00:00.000Z,2093266027712.8,41.4216
2021-09-10T00:00:00.000Z,2116290061816.93,41.2805
2021-09-11T00:00:00.000Z,2038038722056.34,41.4509
2021-09-12T00:00:00.000Z,2066435429814.47,41.1558
2021-09-13T00:00:00.000Z,2121600275771.01,40.839
2021-09-14T00:00:00.000Z,2049083378297.22,41.2538
2021-09-15T00:00:00.000Z,2131773368969.14,41.6072
2021-09-16T00:00:00.000Z,2193850208470.17,41.3071
2021-09-17T00:00:00.000Z,2165882966767.53,41.4972
2021-09-18T00:00:00.000Z,2110336104813.56,42.1748
2021-09-19T00:00:00.000Z,2151845798097.24,42.208
2021-09-20T00:00:00.000Z,2102146817352.21,42.3241
2021-09-21T00:00:00.000Z,1888633277740.66,42.8362
2021-09-22T00:00:00.000Z,1789919374944.78,42.8497
2021-09-23T00:00:00.000Z,1959270141458.51,41.8424
